EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,BEGIN_LAT,BEGIN_LON
10050384,MISSISSIPPI,28,1950,June,Tornado,1,0,2,0,0K,0,0,,F3,2,50,33.08,-89.58
10086808,OHIO,39,1950,January,Tornado,1,0,0,0,25K,0,0,,F1,0.1,33,40.88,-84.58
10120418,TEXAS,48,1950,June,Tornado,6,0,0,0,250K,0,0,,F3,23.9,67,30.18,-96.4
9981922,ARKANSAS,5,1950,January,Tornado,1,0,1,0,2.5K,0,0,,F3,0.6,17,34.4,-94.37
10001432,GEORGIA,13,1950,June,Tornado,1,0,0,0,25K,0,0,,F1,3.3,7,33.85,-84.25
10049829,MISSISSIPPI,28,1955,October,Tornado,1,0,0,0,250K,0,0,,F2,2,33,34.2,-90.57
9984208,ARKANSAS,5,1955,October,Tornado,1,0,0,0,25K,0,0,,F3,1,100,33.8,-91.27
9991373,COLORADO,8,1955,June,Tornado,1,0,0,0,250K,0,0,,F2,1.9,83,40.65,-102.65
10121863,TEXAS,48,1955,June,Tornado,1,0,0,0,0K,0,0,,F0,2,7,32.53,-98.68
9978062,ALABAMA,1,1964,January,Tornado,6,0,10,0,250K,0,0,,F4,3.3,100,33.32,-86.43
10035949,KENTUCKY,21,1964,June,Tornado,1,0,0,0,25K,0,0,,F2,10.9,33,38.4,-83.93
10079512,NEW MEXICO,35,1964,June,Tornado,1,0,0,0,.25K,0,0,,F1,0.2,50,34.4,-103.35
10077996,NORTH CAROLINA,37,1964,December,Tornado,1,0,0,0,2.5K,0,0,,F1,0,33,35.08,-78.8
10113684,SOUTH DAKOTA,46,1964,June,Tornado,1,0,0,0,0K,0,0,,F2,3.8,33,45.08,-100.7
9988548,FLORIDA,12,1964,June,Tornado,1,0,0,0,2.5K,0,0,,F2,0,33,26.62,-81.97
10012200,IOWA,19,1964,June,Tornado,1,0,0,0,250K,0,0,,F3,10.6,200,40.73,-95.05
10095071,OKLAHOMA,40,1964,June,Tornado,1,0,0,0,.03K,0,0,,F2,0,33,34.85,-99.35
9995806,GEORGIA,13,1964,December,Tornado,1,0,0,0,250K,0,0,,F3,10.4,400,33.42,-84.27
10026396,KANSAS,20,1964,June,Tornado,1,0,0,0,25K,0,0,,F2,12.6,33,38.52,-98.77
9976193,ALABAMA,1,1967,October,Tornado,1,0,0,0,25K,0,0,,F2,13.1,33,30.25,-87.65
