year,co2,co2_per_capita,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
1950,23193.336000000007,943.2859999999998,0.0,15959.768000000005,272.88699999999994,223.54999999999998,1110.931,5611.231,9.976,0.0,0.0,0.0,0.0,0.0,0.0,7570712667.0,15859670599973.045,0.0,0.0,0.0
1951,24765.194000000007,1214.978,0.0,16981.583,309.265,243.305,1306.674,5907.8809999999985,11.002,0.0,0.0,0.0,0.0,0.0,0.0,7712654543.0,7992201168319.643,0.0,0.0,0.0
1952,25203.424000000003,834.7369999999994,0.0,16927.200999999994,331.42999999999984,259.877,1405.4289999999999,6263.419999999999,10.71,0.0,0.0,0.0,0.0,0.0,0.0,7852544506.0,8401431219340.444,0.0,0.0,0.0
1953,25929.893,880.5780000000002,0.0,17104.16299999999,368.45399999999995,248.97899999999998,1498.933,6689.992999999999,12.91,0.0,0.0,0.0,0.0,0.0,0.0,7992061972.0,8884521325167.375,0.0,0.0,0.0
1954,26744.552000000003,1378.6270000000002,0.0,17319.80100000001,400.18199999999973,236.58399999999997,1588.2199999999998,7182.608999999999,11.442,0.0,0.0,0.0,0.0,0.0,0.0,8133216641.0,9099744118419.941,0.0,0.0,0.0
1955,29264.525000000012,1214.075,0.0,18677.318000000003,444.211,309.04900000000004,1741.5399999999997,8071.511,13.936,0.0,0.0,0.0,0.0,0.0,0.0,8283968168.0,9694331533007.729,0.0,0.0,0.0
1956,31190.09300000002,1417.809,0.0,19630.648999999998,480.04600000000005,345.13199999999995,1883.051,8830.105000000003,14.084,0.0,0.0,0.0,0.0,0.0,0.0,8431612731.0,10097362140706.95,0.0,0.0,0.0
1957,32296.583999999995,1096.4540000000002,0.0,20032.870000000003,507.55299999999977,338.07099999999997,2100.9129999999996,9296.722000000002,13.644,0.0,0.0,0.0,0.0,0.0,0.0,8583604349.0,10477138315471.188,0.0,0.0,0.0
1958,33117.274000000005,996.4359999999999,0.0,20128.84500000001,537.1149999999999,306.731,2326.435,9799.654000000004,12.322,0.0,0.0,0.0,0.0,0.0,0.0,8760050974.0,10716460067185.188,0.0,0.0,0.0
1959,34633.66299999999,1119.3160000000003,0.0,20659.40200000001,603.1030000000001,298.27500000000003,2531.7180000000003,10516.306000000002,16.578,0.0,0.0,0.0,0.0,0.0,0.0,8933657650.0,11276166555064.678,0.0,0.0,0.0
1960,36787.272,1027.878,0.0,21511.480000000003,657.8639999999997,291.993,2820.774,11422.647,55.014,0.0,0.0,0.0,0.0,0.0,0.0,9100095060.0,25715521097504.15,0.0,0.0,0.0
1961,37222.969999999994,1046.3950000000002,0.0,20937.958999999995,696.0500000000002,284.198,3029.746,12187.367000000002,58.438,0.0,0.0,0.0,0.0,0.0,0.0,9270281335.0,12903204938855.158,0.0,0.0,0.0
1962,38731.697,1082.9569999999999,0.0,20991.352,749.7090000000002,283.107,3362.055,13254.637999999999,60.554,0.0,0.0,0.0,0.0,0.0,0.0,9445975277.0,13604570394727.312,0.0,0.0,0.0
1963,40905.924999999996,1138.6450000000004,0.0,21739.527000000002,789.4379999999993,306.50300000000004,3667.333,14307.869999999995,63.502,0.0,0.0,0.0,0.0,0.0,0.0,9627632960.0,14329473214589.04,0.0,0.0,0.0
1964,43134.197,1150.7480000000003,0.0,22115.607000000007,876.7550000000001,395.81600000000003,4087.9270000000006,15553.140000000001,69.96000000000001,0.0,0.0,0.0,0.0,0.0,0.0,9817057283.0,15307381169805.83,0.0,0.0,0.0
1965,44979.44400000002,1108.2689999999998,29.637999999999995,22292.83300000001,919.3880000000006,462.23900000000003,4410.886999999999,16790.497000000007,69.064,0.0,0.0,0.0,0.0,0.0,0.0,10013776674.0,16114871539443.375,107916.33,1588233.4180000003,137.28200000000004
1966,47046.99199999999,1069.4140000000004,29.660999999999994,22407.513000000006,989.6990000000004,514.5790000000001,4820.631999999999,18205.910000000007,72.442,0.0,0.0,0.0,0.0,0.0,0.0,10218710902.0,16971235865837.59,113424.747,1624895.1049999997,137.667
1967,48536.547000000006,1135.557,28.111000000000004,22049.196000000004,1025.8299999999997,671.9730000000001,5192.465000000001,19485.488,74.4,0.0,0.0,0.0,0.0,0.0,0.0,10431179970.0,17639535534392.367,117427.52299999999,1682770.5940000005,136.80800000000002
1968,51174.89400000003,1131.2249999999997,25.83,22274.489000000016,1091.6490000000001,715.0430000000001,5693.333999999998,21284.593000000008,77.18599999999999,0.0,0.0,0.0,0.0,0.0,0.0,10649601054.0,18608837434256.664,124855.911,1819120.1069999991,138.815
1969,54504.03,1328.2660000000003,28.352999999999994,23015.217,1154.2999999999995,865.719,6254.566000000001,23089.103000000003,83.416,0.0,0.0,0.0,0.0,0.0,0.0,10871782673.0,19709478712057.71,133292.981,1909769.1809999999,136.93099999999995
1970,58698.547000000035,1426.1139999999998,27.019000000000002,23513.361000000008,1228.193,984.668,6560.373,26278.90700000001,88.69999999999999,0.0,0.0,0.0,0.0,0.0,0.0,11096746408.0,42623222257250.33,141291.694,1976889.5920000004,144.01299999999998
1971,61092.47700000003,1416.215,27.826,23473.055000000004,1259.5359999999994,1198.2220000000002,7176.460999999999,27851.213,89.322,0.0,0.0,0.0,0.0,0.0,0.0,11322218403.0,21702851076860.043,146338.73200000002,2009263.0110000002,141.68200000000002
1972,63821.14499999999,1417.5729999999999,27.661,23323.224,1333.7259999999999,1296.4499999999996,7697.883999999999,30025.642000000007,96.14399999999999,0.0,0.0,0.0,0.0,0.0,0.0,11550421366.0,22808556649402.547,154213.516,2106916.622,141.91100000000006
1973,67163.42199999996,1503.9950000000003,27.497000000000003,23886.725000000013,1412.6679999999997,1505.4450000000002,8090.382999999998,32113.316000000006,103.25399999999999,0.0,0.0,0.0,0.0,0.0,0.0,11778683970.0,25341899269471.44,162866.696,2216551.9120000005,140.57600000000002
1974,67081.29900000001,1404.1960000000001,27.355999999999995,23931.307000000008,1412.607,1477.6729999999998,8391.082000000002,31711.464000000007,104.776,0.0,0.0,0.0,0.0,0.0,0.0,12006595227.0,24893061814398.2,162335.24200000003,2148203.201,135.54000000000005
1975,67323.833,1294.3040000000003,27.366999999999987,24392.41899999999,1405.3609999999999,1290.5449999999998,8618.679999999998,31475.316000000013,94.33800000000001,0.0,0.0,0.0,0.0,0.0,0.0,12233528454.0,25359695156872.69,161882.33099999998,2111287.5670000003,133.78200000000004
1976,71104.714,1523.3890000000001,28.041999999999998,25469.932000000008,1463.2439999999995,1511.359,9224.894,33285.229,100.032,0.0,0.0,0.0,0.0,0.0,0.0,12458967658.0,26539469272584.887,170906.26399999997,2157859.996,134.59499999999997
1977,72869.54999999999,1340.2679999999998,26.988000000000007,25877.799999999996,1526.5530000000003,1466.5500000000002,9469.204000000002,34380.364,99.38199999999999,0.0,0.0,0.0,0.0,0.0,0.0,12683368183.0,27654908767122.773,176527.13499999998,2237201.9150000005,135.30800000000002
1978,75107.62899999999,1309.3640000000014,26.799,26385.483000000007,1612.2759999999998,1503.7809999999997,9903.728999999998,35549.136,102.15199999999999,0.0,0.0,0.0,0.0,0.0,0.0,12908334756.0,28932388108415.957,181999.01899999997,2292914.7249999996,136.24900000000005
1979,77268.87900000004,1327.0309999999997,25.841000000000008,27389.56000000001,1626.8220000000006,1353.8950000000002,10527.486,36213.72900000001,104.92600000000002,0.0,0.0,0.0,0.0,0.0,0.0,13136131767.0,30059319450620.367,188031.625,2508125.3469999996,136.45499999999998
1980,76976.51700000002,1302.2279999999994,45.26,28210.354000000018,1635.2270000000005,1190.937,10847.881,34947.507999999994,96.404,0.0,0.0,0.0,0.0,0.0,0.0,13369038269.0,63810417166796.016,200955.47399999993,3836862.042999999,254.82900000000006
1981,75014.31099999999,1201.461,46.66300000000003,27912.020000000015,1624.4160000000004,899.6180000000002,11090.844,33347.39599999999,93.344,0.0,0.0,0.0,0.0,0.0,0.0,13605381309.0,32539237249004.156,199179.526,3746302.3379999995,245.55899999999997
1982,74497.85,1189.2309999999995,46.00600000000001,28323.30600000001,1612.4260000000008,899.2600000000001,10926.087000000005,32601.729000000018,90.02799999999999,0.0,0.0,0.0,0.0,0.0,0.0,13846406898.0,32926955462691.92,197371.21700000003,3738430.2940000016,246.73500000000004
1983,74918.68200000002,1066.4220000000003,46.105999999999995,28939.98600000001,1642.2619999999995,809.265,11161.743,32220.618999999988,96.536,0.0,0.0,0.0,0.0,0.0,0.0,14092802210.0,33861386999013.242,199999.795,3642743.6750000017,246.51099999999985
1984,77135.657,1216.8860000000004,45.47100000000002,30058.17400000001,1659.8779999999992,695.7479999999999,12108.397000000003,32456.751999999986,104.472,0.0,0.0,0.0,0.0,0.0,0.0,14345966684.0,35400340423460.72,209594.60499999998,3742418.224,241.86099999999988
1985,79876.91,1272.4950000000001,47.900000000000006,32283.18499999999,1664.9359999999997,673.3839999999999,12676.982999999997,32412.609000000008,110.54599999999999,0.0,0.0,0.0,0.0,0.0,0.0,14606524126.0,36675215139306.35,216657.66199999998,4176533.928999999,295.82300000000004
1986,80843.75800000002,1070.54,45.37000000000001,32635.072000000007,1725.9520000000007,622.5830000000001,12406.264999999998,33274.94500000001,119.29799999999999,0.0,0.0,0.0,0.0,0.0,0.0,14875279373.0,37923547526011.21,220901.3770000001,4267184.942999999,299.94400000000013
1987,82788.03799999997,1066.2140000000002,45.66999999999997,33568.43300000001,1790.9239999999998,600.6799999999998,13476.092000000004,33128.69799999999,148.812,0.0,0.0,0.0,0.0,0.0,0.0,15150947333.0,39337622105957.5,228273.016,4427626.132000001,299.2339999999999
1988,85631.22600000001,1098.6719999999998,44.365999999999985,34462.126,1885.7010000000002,696.8,14141.449999999995,34177.674000000006,178.326,0.0,0.0,0.0,0.0,0.0,0.0,15429455883.0,41011277127962.59,236559.76100000003,4500427.843999999,299.63899999999995
1989,86621.76900000003,1154.3370000000002,43.97299999999999,34374.175,1936.9370000000006,582.2150000000001,14736.110999999999,34732.21200000001,173.42000000000002,0.0,0.0,0.0,0.0,0.0,0.0,15705290868.0,42301087745758.92,240666.775,4639449.667,301.95500000000004
1990,88194.82599999999,1170.173000000001,46.44799999999999,33159.29600000002,1962.822,971.3060000000003,15813.024,35387.46000000001,900.9179999999996,73033.21,1699.1480000000001,15377.880000000003,451.945,5230.7400000000025,132.50099999999998,15980531148.0,86146148180008.02,243470.99800000005,4674263.780999999,304.3939999999999
1991,88759.47899999999,1138.491,47.17400000000002,32521.489000000005,1982.7320000000007,977.1020000000001,16085.474000000006,36336.587000000014,856.1089999999999,73252.23000000004,1669.0020000000002,15302.09,447.5309999999998,5188.85,128.659,16241068492.0,43822211430252.76,244568.85500000004,4642406.766000001,313.744
1992,86107.54099999997,1117.6280000000002,48.644000000000005,31358.387,2039.1079999999997,905.2369999999999,16222.207,34743.232,839.378,72838.87999999999,1627.676,15152.160000000003,440.71999999999997,5161.3,124.80400000000003,16495020405.0,44847397780618.36,246488.46700000003,4737734.053999998,347.66399999999993
1993,86353.21599999999,1150.7230000000002,49.484,31404.865000000013,2087.8650000000002,883.431,16586.295,34571.831000000006,818.921,72953.13999999998,1609.1740000000002,15094.629999999996,435.5090000000002,5133.190000000001,122.78,16743016526.0,46061842488798.56,247932.648,4695195.688999999,353.8909999999999
1994,86236.26500000001,1137.4200000000003,48.31099999999998,31245.306999999986,2205.852999999999,891.5550000000002,16612.863999999998,34471.62600000003,809.0640000000001,73322.13,1597.4039999999998,15029.309999999996,429.4959999999998,5308.709999999999,126.94800000000008,16987640015.0,47703615852377.67,250661.21000000008,4735716.556999997,365.06199999999984
1995,87648.415,1122.5070000000003,48.874,31957.364000000005,2316.3749999999986,887.1540000000001,16961.941000000006,34693.301000000014,832.281,74784.19000000002,1577.3670000000002,15041.2,420.0870000000002,5418.73,126.131,17230794741.0,49574230323485.31,255915.295,4786510.672999998,362.2340000000002
1996,89953.57800000001,1134.2720000000004,49.073999999999984,32599.145000000004,2344.092,902.1200000000001,17749.199999999997,35541.691000000006,817.3349999999997,74925.2,1542.544,14782.45,403.91299999999956,5441.519999999999,121.75699999999996,17472801941.0,51694795937401.87,263558.16500000004,4757442.988000004,364.12200000000024
1997,90055.54500000003,1140.4469999999994,49.939000000000014,32244.498000000003,2407.4909999999995,926.1370000000002,17747.896,35907.72800000002,821.8020000000001,77431.88,1564.8420000000006,15197.940000000004,406.845,5455.3,122.319,17713235894.0,53776589678412.164,265694.358,4800696.056000001,352.05199999999985
1998,89566.133,1070.9869999999996,49.39299999999997,31340.402000000006,2378.109,889.4140000000002,18069.63300000001,36080.807,807.7749999999997,76598.31000000001,1563.1949999999997,14985.800000000008,405.68699999999995,5453.4800000000005,121.884,17952453576.0,55090034537404.98,267418.00299999997,4863832.695999999,352.45500000000027
1999,90524.43299999993,1082.7789999999993,48.855000000000054,31004.384,2479.825000000001,862.0190000000001,18611.060000000005,36763.41799999998,803.7189999999999,76144.44,1509.6890000000003,14843.699999999997,389.47800000000007,5387.5199999999995,118.457,18190756370.0,57146833493365.32,271811.8530000001,4892440.837999999,340.497
2000,92998.02599999997,1174.21,44.86299999999998,32223.05399999999,2594.335000000001,1000.3060000000003,19029.447000000007,37351.036,799.8460000000002,77312.86999999998,1488.4189999999996,14772.389999999998,379.9039999999997,5350.400000000001,116.36100000000002,18429047169.0,119945746447287.38,278309.4809999999,5035694.422000001,318.1499999999999
2001,93999.37099999998,1188.5940000000003,45.88100000000002,32478.501000000007,2684.9500000000003,1007.6780000000001,19292.059000000012,37749.236999999994,786.9520000000001,79171.24000000003,1543.1299999999994,14944.740000000002,380.1849999999999,5428.030000000001,116.833,18666418666.0,61832675405042.69,280141.617,5092960.096000001,317.7780000000001
